Territorialidades,Taxa de Educacao 2010
Caarapó (MS),87.8
Caatiba (BA),70.0
Cabaceiras do Paraguaçu (BA),73.5
Cabaceiras (PB),81.96
Cabeceira Grande (MG),85.39
Cabeceiras do Piauí (PI),66.37
Cabeceiras (GO),86.98
Cabedelo (PB),89.33
Cabixi (RO),86.37
Cabo de Santo Agostinho (PE),87.0
Cabo Frio (RJ),94.98
Cabo Verde (MG),89.59
Cabrália Paulista (SP),90.33
Cabreúva (SP),93.78
Cabrobó (PE),76.29
Caçador (SC),94.07
Caçapava do Sul (RS),91.76
Caçapava (SP),95.84
Cacaulândia (RO),86.78
Cacequi (RS),92.49
Cáceres (MT),89.82
Cachoeira Alta (GO),88.96
Cachoeira (BA),83.99
Cachoeira da Prata (MG),96.11
Cachoeira de Goiás (GO),85.75
Cachoeira de Minas (MG),91.43
Cachoeira de Pajeú (MG),72.57
Cachoeira do Arari (PA),86.36
Cachoeira do Piriá (PA),71.17
Cachoeira dos Índios (PB),72.73
Cachoeira do Sul (RS),92.51
Cachoeira Dourada (GO),85.07
Cachoeira Dourada (MG),87.8
Cachoeira Grande (MA),69.59
Cachoeira Paulista (SP),95.82
Cachoeiras de Macacu (RJ),90.69
Cachoeirinha (PE),67.87
Cachoeirinha (RS),97.06
Cachoeirinha (TO),81.8
Cachoeiro de Itapemirim (ES),94.29
Cacimba de Areia (PB),73.17
Cacimba de Dentro (PB),61.16
Cacimbas (PB),63.89
Cacimbinhas (AL),59.39
Cacique Doble (RS),89.87
Cacoal (RO),91.71
Caconde (SP),92.21
Caçu (GO),91.07
Caculé (BA),79.83
Caém (BA),74.84
Caetanópolis (MG),94.82
Caetanos (BA),72.96
Caeté (MG),94.88
Caetés (PE),61.37
Caetité (BA),79.58
Cafarnaum (BA),78.18
Cafeara (PR),84.42
Cafelândia (PR),95.58
Cafelândia (SP),92.9
Cafezal do Sul (PR),84.68
Caiabu (SP),87.52
Caiana (MG),86.6
Caiapônia (GO),85.2
Caibaté (RS),93.05
Caibi (SC),91.61
Caiçara do Norte (RN),74.48
Caiçara do Rio do Vento (RN),74.35
Caiçara (PB),65.84
Caiçara (RS),92.41
Caicó (RN),84.66
Caieiras (SP),96.07
Cairu (BA),84.47
Caiuá (SP),88.29
Cajamar (SP),94.81
Cajapió (MA),74.42
Cajari (MA),78.26
Cajati (SP),90.06
Cajazeiras do Piauí (PI),69.39
Cajazeiras (PB),80.55
Cajazeirinhas (PB),65.19
Cajobi (SP),92.18
Cajueiro (AL),66.14
Cajueiro da Praia (PI),67.33
Cajuri (MG),88.47
Cajuru (SP),94.03
Calçado (PE),67.62
Calçoene (AP),87.03
Caldas Brandão (PB),64.12
Caldas (MG),91.91
Caldas Novas (GO),94.43
Caldazinha (GO),89.51
Caldeirão Grande (BA),70.74
Caldeirão Grande do Piauí (PI),65.25
Califórnia (PR),91.32
Calmon (SC),89.16
Calumbi (PE),67.4
Camacan (BA),77.18
Camaçari (BA),92.22
Camacho (MG),86.91
Camalaú (PB),70.27
Camamu (BA),73.35
Camanducaia (MG),89.2
Camapuã (MS),89.43
Camaquã (RS),92.95
Camaragibe (PE),89.21
Camargo (RS),91.43
Cambará do Sul (RS),93.11
Cambará (PR),91.41
Cambé (PR),93.62
Cambira (PR),91.1
Camboriú (SC),95.96
Cambuci (RJ),87.31
Cambuí (MG),92.72
Cambuquira (MG),90.81
Cametá (PA),89.47
Camocim (CE),73.51
Camocim de São Félix (PE),68.05
Campanário (MG),82.26
Campanha (MG),92.05
Campestre (AL),67.59
Campestre da Serra (RS),93.58
Campestre de Goiás (GO),87.25
Campestre do Maranhão (MA),78.74
Campestre (MG),91.43
Campinaçu (GO),86.7
Campina da Lagoa (PR),86.97
Campina das Missões (RS),95.94
Campina do Monte Alegre (SP),91.72
Campina do Simão (PR),88.07
Campina Grande do Sul (PR),94.02
Campina Grande (PB),88.32
Campinápolis (MT),75.3
